itl,Grand Total,"Population ('000s, mid-year estimate)",Area (km2),Per Capita Emissions (tCO2e),Emissions per km2 (kt CO2e)
E06000064,4933.951664055598,503.033,7182.764399999999,9.808405540104918,0.6869154254948969
E06000006,717.5925461510973,128.964,90.3215,5.564285739827373,7.944869672792162
E08000011,778.8202855110702,157.103,86.5002,4.95738646309154,9.003681904909701
E07000117,422.93466916920767,95.553,110.684,4.426178865856725,3.8211003321998454
E07000118,722.199740759081,118.624,202.9057,6.088141866393656,3.559287593986177
E07000119,610.0415498989934,83.008,182.62869999999998,7.3491898359073025,3.3403377995845855
E07000120,408.0099039838302,83.213,72.9975,4.903199067259085,5.589368183620401
E07000121,945.0827654543839,144.446,654.0269999999999,6.542810222881796,1.4450210242916333
E07000122,438.99892450926865,96.11,169.38009999999997,4.567671673179364,2.591797528217711
E07000123,809.3048432843492,151.582,142.9448,5.339056374004494,5.661659908470607
E07000124,1059.739194682971,63.107,584.4714,16.79273606229057,1.8131583421925708
E07000125,527.6079895919033,71.169,138.0412,7.413452340090536,3.822105209110782
E07000126,624.2586329312257,112.166,114.61489999999999,5.565488944343436,5.446574860085606
E07000127,1003.9474222067435,119.367,381.3803,8.410594403869942,2.632405035621251
E07000128,792.348105863797,114.809,328.7715,6.901445930752789,2.4100267385214256
E07000128,8364.473742335755,1253.154,3082.8470999999995,6.674737296721516,2.713230163875385
E08000012,1746.0820463143245,496.77,133.534,3.5148701538223417,13.075936063581745
E08000003,2141.356692542933,568.996,115.6483,3.7633949843987184,18.516110418769088
E08000004,780.1589041690645,243.912,142.345,3.1985261248690695,5.4807608568552775
E08000005,992.6969272894936,226.992,158.1283,4.3732683411287345,6.277794217034482
E08000006,1277.70278008385,278.064,97.1974,4.594995325118857,13.145441957128998
E08000014,1289.5982163891092,281.027,202.7557,4.588876571963225,6.360354931521576
E08000013,1152.3564652589741,184.728,136.3587,6.238125596872018,8.450920001869878
E08000007,1104.6529843494695,297.107,126.0402,3.718030825088165,8.764290951216116
E08000008,841.9352844038675,232.753,103.1543,3.617290794979517,8.161901970192881
E08000009,1471.4601471187418,236.301,106.04469999999999,6.2270584852317254,13.875848082164804
E06000007,1340.6604461153977,211.58,182.3834,6.336423320329888,7.350781080489769
E08000010,1256.2873474165767,334.11,188.1711,3.7601010069036445,6.6763033612312235
E08000015,1125.2434741086902,322.453,253.24599999999998,3.4896356185512007,4.443282318807366
E08000015,40592.97840677117,7516.113000000001,14914.430300000002,5.400794054955156,2.7217250401291673
E08000016,1360.6411578532304,246.482,329.0776,5.520245526461285,4.134712170786557
E08000032,2008.759844565766,552.644,366.4198,3.6348170695163,5.482126906258247
E08000033,965.7668849488008,207.699,363.9608,4.649838877167443,2.6534914885031595
E08000017,1960.220060260337,311.027,568.5513,6.302411238446621,3.4477452786764133
E06000011,3051.4666223870527,346.309,2495.097,8.811398555587791,1.2229851674652539
E06000010,1031.3098245725917,268.852,81.4974,3.835976018674184,12.654511979186964
E08000034,1809.2871120330149,437.593,408.5516,4.134634493771643,4.4285400229322684
E08000035,3693.034796457103,822.483,551.7068,4.49010471518208,6.693835922372359
E06000012,1075.5847486135185,157.754,202.6626,6.818113953456131,5.307268083077581
E06000013,6359.734823337051,170.042,875.6845,37.40096460484499,7.262586951507137
E06000065,5714.159664646851,623.501,8052.192800000001,9.164635926240457,0.7096401944879971
E08000018,1424.8958094271077,268.354,286.53430000000003,5.309761767766114,4.972862967634617
E08000019,2211.313747680881,566.242,367.93019999999996,3.9052450148185427,6.010144716799223
E08000036,1994.8146342847776,357.729,338.61980000000005,5.576329104670792,5.8910159248950515
E06000014,840.2453769283284,204.551,272.0148,4.1077549214050695,3.088969338904826
E06000014,35501.235107996414,5541.262000000001,15560.501299999998,6.406705748256699,2.2814968761961683
E06000015,1242.261529410908,263.49,78.0311,4.714643931120376,15.920082241707577
E07000032,734.4741457984981,126.944,265.4379,5.785812214823056,2.767028166657806
E07000033,993.6255368195639,81.553,160.3347,12.183801170031316,6.197195846061794
E07000034,498.9121295810339,104.11,66.0352,4.792163380857112,7.555245226500925
E07000035,857.8128010262192,71.752,795.3178,11.955245861107972,1.0785786524911414
E07000036,572.5189488688764,113.08,109.6301,5.062954977616522,5.222278816391451
E07000037,3155.8523825432894,91.109,540.2541,34.63820679124225,5.841422365037654
E07000038,583.3442564415358,103.783,275.6234,5.6208074197270825,2.116454032718324
E07000039,722.0094988445526,111.133,338.12690000000003,6.496805618894052,2.1353210846121753
E07000039,8118.549699923569,803.464,2550.7601,10.104434921693528,3.182796257446386
E06000016,1361.1354227232757,373.399,73.3421,3.645257279005235,18.558718972094823
E07000129,638.2132541250548,104.182,130.4686,6.125945500422864,4.891700026865122
E07000130,907.0861538394223,184.748,279.0426,4.909856419768671,3.2507085077311575
E07000131,770.6822296687334,100.481,592.6921,7.669929933706207,1.3003079164860363
E07000132,689.1046250865943,114.298,297.3514,6.02901735014256,2.3174756368612837
E07000133,409.84163166466567,52.433,481.38059999999996,7.816482590442387,0.8513879281065039
E07000134,1023.8215914843207,107.672,279.328,9.50870784869159,3.665302409655748
E07000135,206.41139051642708,58.341,23.5261,3.538015983895152,8.773718997897104
E07000135,4645.160876385218,722.1550000000001,2083.7893999999997,6.43235991772572,2.229189224393415
E07000136,382.1840639887423,70.806,397.79269999999997,5.397622574199112,0.9607618842395608
E07000137,1100.8299068468716,144.415,1830.8572,7.622683979135628,0.6012647555728932
E07000138,351.2133423160121,102.545,35.6902,3.4249679878688584,9.840610092294583
E07000139,930.8700140478202,119.709,922.4713,7.776107176969319,1.0091045803244179
E07000140,732.6031424119153,96.983,815.5037,7.553933600857008,0.8983443513645804
E07000141,994.5126296305365,144.249,942.586,6.8944161112419255,1.0550895405093397
E07000142,781.9883118864991,96.817,1157.6523,8.07697317502607,0.6754949753794807
E07000142,5274.201411128397,775.5240000000001,6102.5534,6.800822941815335,0.8642614108265562
E06000061,2014.6522896473527,363.408,986.5947,5.543775287410714,2.0420262643285563
E06000062,2663.812154950989,429.013,1380.3956,6.209164186052612,1.929745469306762
E06000062,4678.464444598342,792.421,2366.9903,5.9040137055912725,1.9765456768447012
E06000018,1334.0852071888244,328.513,74.61319999999999,4.060981474671701,17.880015964853733
E07000170,590.2793377724349,127.179,109.5581,4.641327088374927,5.387820140842484
E07000171,947.9056366957057,120.012,639.4926,7.898423796751206,1.4822777256464041
E07000172,640.7325363473597,112.113,80.0989,5.715060129934616,7.99926760975943
E07000173,450.16476954750794,117.73,119.9817,3.8237048292491966,3.751945251213376
E07000174,399.19619733724664,111.117,76.6971,3.592575369540634,5.204840826279567
E07000175,965.2041774414037,125.089,651.8354,7.71613952818716,1.4807483260979744
E07000176,794.0954472421432,121.582,409.2317,6.531357003850433,1.9404543862123664
E07000176,4787.578102383803,834.822,2086.8955,5.734848988627279,2.2941149196899424
E06000017,1029.6141781379026,41.151,393.749,25.020392654805534,2.6148997918417636
E06000017,32471.050871880234,4934.938999999999,15810.7241,6.579828215076263,2.0537358483081896
E08000025,4316.447831168416,1157.603,267.7912,3.728780792005909,16.11870678038866
E08000026,1292.4952071090797,355.6,98.639,3.634688433940044,13.103287818297831
E08000027,1117.7857122973985,324.969,97.9584,3.4396687447030287,11.41082043293274
E06000019,1498.5475531444233,188.719,2179.7094,7.940628941147544,0.6874987799494846
E08000028,1341.713742446558,344.21,85.5589,3.897951083485541,15.681755404131634
E06000051,2586.9683002342113,327.178,3197.2758000000003,7.906913974149274,0.8091164047324948
E08000029,1172.8703488485905,217.678,178.28209999999999,5.388097781349473,6.578733080037708
E07000192,329.20516245127897,101.14,78.8825,3.254945248677862,4.173361169477121
E07000193,799.5095874867374,125.76,389.9873,6.357423564621003,2.0500913426840754
E07000194,686.8635881109863,108.352,331.2944,6.339186984190289,2.0732725579152147
E07000195,930.5435012694849,125.297,210.9574,7.426702165809915,4.41104934583705
E07000196,881.1701057760655,111.527,407.32230000000004,7.900957667435379,2.1633239961967843
E07000197,1133.5811324561525,138.67,598.1721,8.174667429553274,1.8950752341276909
E07000198,1259.1360988641031,95.899,575.8498000000001,13.1298146890385,2.186570350226922
E07000199,248.71486401048844,79.639,30.850700000000003,3.1230284660843113,8.061887218458201
E07000199,6268.724040425298,886.284,2623.3165000000004,7.073042095338851,2.3896178903404515
E06000021,1135.7764620453675,259.965,93.44850000000001,4.368959136981392,12.154036309254481
E06000020,952.1409180122419,188.871,290.3137,5.041223470052268,3.2796968176570447
E08000030,1060.8239671418469,286.105,103.9734,3.707813450103447,10.202840025832058
E07000218,865.7648698106441,65.946,284.2613,13.128390953365543,3.0456656245878144
E07000219,519.1036461220222,135.481,78.9504,3.83156048539664,6.575060368560794
E07000220,1812.1882006456156,116.436,353.55730000000005,15.56381360271407,5.125585585831816
E07000221,1050.9876623802384,138.583,977.8694,7.583813760563983,1.0747730344974884
E07000222,871.9219877707629,151.158,282.8822,5.7682821138858875,3.0822794356476404
E07000222,5119.966366729283,607.604,1977.5206,8.426485616831494,2.5890837075119637
E08000031,974.2674540397163,267.651,69.4365,3.6400665569705186,14.03105649103449
E07000234,694.441690836588,100.076,216.9684,6.939143159564612,3.200658210304302
E07000235,581.7767648363803,81.024,577.071,7.180301698711249,1.0081545682184345
E07000236,395.2683977440266,87.132,54.2509,4.536432054170988,7.285932542022834
E07000237,360.7191516019706,104.12,33.2782,3.464455931636291,10.839503086163633
E07000238,1097.6039286259513,134.536,663.5418,8.15844033289195,1.6541594344560528
E07000239,399.54255039212916,102.328,195.40380000000002,3.904528089986408,2.0447020497663257
E07000239,3529.352484037046,609.216,1740.5141,5.793269520230995,2.0277643737772912
E07000239,32367.88038767947,6021.653,13003.738099999999,5.3752483558384165,2.4891212156663993
E06000055,823.8571436801154,187.466,476.4082,4.394701672197174,1.729309326917789
E06000056,1460.7621691531106,301.501,715.6657,4.844966249375991,2.041123626789869
E06000056,2284.619312833226,488.967,1192.0739,4.672338445811734,1.9165081232239258
E07000008,539.6175852162976,146.995,40.6987,3.670992790341832,13.258840828240153
E07000009,1356.009760237325,89.394,651.7204,15.168912457629427,2.080661830191789
E07000010,1486.2854594996468,103.035,547.3554,14.425054200025688,2.7153937998960944
E07000011,1810.111896832897,184.052,912.5461,9.834785260865935,1.9835840587482614
E07000012,1257.0745665082911,165.633,901.6872999999999,7.589517587125096,1.3941358234814787
E07000012,6449.099268294457,689.109,3054.0078999999996,9.358605486642109,2.1116838853935045
E07000066,961.3706293156658,188.848,110.4459,5.0907112032728215,8.704448325521055
E07000067,808.4597694463431,157.681,611.7079,5.127185706878717,1.3216434992033668
E07000068,466.9872143482824,77.332,153.1241,6.038731887812063,3.049730345179383
